image_name,ctr,black_x,text,girl,headwear,poster,fun,skyblue
imgcontent.cardib-bartiercardi_imgtemp.achalf8gradient,0.005767950898469275,0.07616033917292953,0.0,0.0,0.0,0.719336748123169,0.0,0.0
imgcontent.cardib-pressshot_imgtemp.pressshot,0.023960149439601494,0.04448888823390007,0.0,0.6217036247253418,0.0,0.0,0.0,0.0
imgcontent.cardibbrunomars-finesse_imgtemp.achalf8gradient,0.014095442393583813,0.010548523627221584,0.8640207648277283,0.0,0.0,0.6575467586517334,0.0,0.016962025314569473
imgcontent.charlieputh-doneforme_imgtemp.achalf8gradient,0.003956018383850137,0.009873418137431145,0.947789192199707,0.0,0.0,0.6823596954345703,0.0,0.053924049250781536
imgcontent.chiquisrivera-entrebotellas_imgtemp.merlinmachinet3,0.022927906389274822,0.18968254327774048,0.0,0.8152356147766113,0.0,0.0,0.0,0.0
imgcontent.chrisstapleton_imgtemp.avhalf,0.005891526598509791,0.0014345991658046842,0.941908597946167,0.0,0.38193096220493317,0.0,0.0,0.0
imgcontent.csws-testimonial_imgtemp.video,0.013862148633038121,0.1473015882074833,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.csws-watchnow_imgtemp.video,0.018371704557656056,0.0,0.0,0.0,0.0,0.0,0.6838093996047974,0.0
imgcontent.demilovato-tellmeyouloveme_imgtemp.achalf,0.007312974094205641,0.13532289862632751,0.0,0.0,0.0,0.6583676338195801,0.0,0.0
imgcontent.demilovato-youdontdoit_imgtemp.achalf,0.006793718016587259,0.13581213355064392,0.0,0.0,0.0,0.6874764561653137,0.0,0.0
imgcontent.demilovato-youdontdoit_imgtemp.achalf8,0.007002996306877569,0.10827004164457321,0.0,0.0,0.0,0.7077866196632385,0.0,0.0
imgcontent.demilovato-youdontdoit_imgtemp.achalf8gradient,0.006866499954306413,0.10818565636873245,0.8984367847442627,0.0,0.0,0.7702939510345459,0.0,0.013924051076173782
imgcontent.demilovato_imgtemp.achalf,0.009176556955830173,0.0,0.8660154938697815,0.5322086811065674,0.0,0.0,0.0,0.012133072130382061
imgcontent.demilovato_imgtemp.achalf8gradient,0.005814502671102761,0.10818565636873245,0.8984367847442627,0.0,0.0,0.7702939510345459,0.0,0.013924051076173782
imgcontent.djkhaled-topoff-pressshot_imgtemp.pressshot,0.018125131453598425,0.023666666820645332,0.0,0.0,0.0,0.0,0.6081244945526123,0.047183333430439234
imgcontent.drake-donotdisturb_imgtemp.achalf8gradient,0.0064928500016849956,0.17139241099357605,0.8903096318244934,0.0,0.0,0.0,0.0,0.013755274005234241
